Name,Subclass,Url,Division,Retailer,District
KYRIAKOS KOMPOS & YIOI LIMITED - Limassol,,https://www.fueldaddy.com.cy/en/kyriakos-kompos-yioi-limited-2?ref=listtile,,FuelDaddy,Limassol
NIKOS S. NIKOLAIDIS LIMITED - Limassol,,https://www.fueldaddy.com.cy/en/nikos-s-nikolaidis-limited-1?ref=listtile,,FuelDaddy,Limassol
PAMBINOS & SONS LIMITED - Limassol,,https://www.fueldaddy.com.cy/en/pambinos-sons-limited-2?ref=listtile,,FuelDaddy,Limassol
KIKIS P. MICHAILOUDIS LIMITED - Limassol,,https://www.fueldaddy.com.cy/en/kikis-p-michailoydis-limited?ref=listtile,,FuelDaddy,Limassol
R.A.M. OIL CYPRUS LIMITED - Larnaca,,https://www.fueldaddy.com.cy/en/ram-oil-cyprus-limited-88?ref=listtile,,FuelDaddy,Larnaca
CORAL ENERGY PRODUCTS CYPRUS LTD - Larnaca,,https://www.fueldaddy.com.cy/en/coral-energy-products-cyprus-ltd-46?ref=listtile,,FuelDaddy,Larnaca
TRIKENO LTD - Larnaca,,https://www.fueldaddy.com.cy/en/trikeno-ltd?ref=listtile,,FuelDaddy,Larnaca
P1 PETROLEUM LIMITED - Larnaca,,https://www.fueldaddy.com.cy/en/p1-petroleum-limited-1?ref=listtile,,FuelDaddy,Larnaca
R.A.M. OIL CYPRUS LIMITED - Larnaca,,https://www.fueldaddy.com.cy/en/ram-oil-cyprus-limited-86?ref=listtile,,FuelDaddy,Larnaca
CORAL ENERGY PRODUCTS CYPRUS LTD - Larnaca,,https://www.fueldaddy.com.cy/en/coral-energy-products-cyprus-ltd-42?ref=listtile,,FuelDaddy,Larnaca
M.A.N.I. PANAGIOTOU LTD - Larnaca,,https://www.fueldaddy.com.cy/en/mani-panagiotoy-ltd?ref=listtile,,FuelDaddy,Larnaca
R.A.M. OIL CYPRUS LIMITED - Larnaca,,https://www.fueldaddy.com.cy/en/ram-oil-cyprus-limited-89?ref=listtile,,FuelDaddy,Larnaca
R.A.M. OIL CYPRUS LIMITED - Larnaca,,https://www.fueldaddy.com.cy/en/ram-oil-cyprus-limited-85?ref=listtile,,FuelDaddy,Larnaca
P2 PETROLEUM LIMITED - Larnaca,,https://www.fueldaddy.com.cy/en/p2-petroleum-limited-1?ref=listtile,,FuelDaddy,Larnaca
R.A.M. OIL CYPRUS LIMITED - Larnaca,,https://www.fueldaddy.com.cy/en/ram-oil-cyprus-limited-82?ref=listtile,,FuelDaddy,Larnaca
PETROLINA (HOLDINGS) PUBLIC LIMITED - Larnaca,,https://www.fueldaddy.com.cy/en/petrolina-holdings-public-limited-74?ref=listtile,,FuelDaddy,Larnaca
STAUROS KARAGIANNAS LIMITED - Larnaca,,https://www.fueldaddy.com.cy/en/stayros-karagiannas-limited?ref=listtile,,FuelDaddy,Larnaca
KOSTAS SOTIRIOU & YIOS (STATHMOS VENZINIS) LIMITED - Larnaca,,https://www.fueldaddy.com.cy/en/kostas-sotirioy-yios-stathmos-venzinis-limited-1?ref=listtile,,FuelDaddy,Larnaca
PETROLINA (HOLDINGS) PUBLIC LIMITED - Larnaca,,https://www.fueldaddy.com.cy/en/petrolina-holdings-public-limited-76?ref=listtile,,FuelDaddy,Larnaca
PETROLINA (HOLDINGS) PUBLIC LIMITED - Larnaca,,https://www.fueldaddy.com.cy/en/petrolina-holdings-public-limited-73?ref=listtile,,FuelDaddy,Larnaca
KALL-ENI CITY GAS STATION LTD - Larnaca,,https://www.fueldaddy.com.cy/en/kall-eni-city-gas-station-ltd-1?ref=listtile,,FuelDaddy,Larnaca
GEORGIA NIKOLAOU LTD - Larnaca,,https://www.fueldaddy.com.cy/en/georgia-nikolaoy-ltd?ref=listtile,,FuelDaddy,Larnaca
PETROLINA (HOLDINGS) PUBLIC LIMITED - Paphos,,https://www.fueldaddy.com.cy/en/petrolina-holdings-public-limited-82?ref=listtile,,FuelDaddy,Paphos
CORAL ENERGY PRODUCTS CYPRUS LTD - Paphos,,https://www.fueldaddy.com.cy/en/coral-energy-products-cyprus-ltd-43?ref=listtile,,FuelDaddy,Paphos
ADELFOI KOURIDI LIMITED - Paphos,,https://www.fueldaddy.com.cy/en/adelfoi-koyridi-limited-4?ref=listtile,,FuelDaddy,Paphos
R.A.M. OIL CYPRUS LIMITED - Paphos,,https://www.fueldaddy.com.cy/en/ram-oil-cyprus-limited-92?ref=listtile,,FuelDaddy,Paphos
ANDREAS M. KOMMATOS LIMITED - Paphos,,https://www.fueldaddy.com.cy/en/andreas-m-kommatos-limited-2?ref=listtile,,FuelDaddy,Paphos
CHARILAOS DANIIL LIMITED - Paphos,,https://www.fueldaddy.com.cy/en/charilaos-daniil-limited-2?ref=listtile,,FuelDaddy,Paphos
J.K PETROL STATION AND CARWASH LTD - Paphos,,https://www.fueldaddy.com.cy/en/jk-petrol-station-and-carwash-ltd?ref=listtile,,FuelDaddy,Paphos
SPLS TRADING CO LIMITED - Paphos,,https://www.fueldaddy.com.cy/en/spls-trading-co-limited-1?ref=listtile,,FuelDaddy,Paphos
