Date,Name,Subclass,Url,Division,Retailer
2025-01-09,ΜεσόγειοςΦασόλιαΆσπρα400g,"Dried vegetables, other preserved or processed vegetables",mesogeios-fasolia-aspra-400g,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
2025-01-09,ΜεσόγειοςΜανιτάριαΦέτες400g,"Dried vegetables, other preserved or processed vegetables",mesogeios-manitaria-fetes-400g,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
2025-01-09,BertiΕλαφρύ1.5%ΓάλαΜακράςΔιαρκείας1L,Preserved milk,berti-elafry-15-gala-makras-diarkeias-1l,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
2025-01-09,BertiΠλήρες3.5%ΓάλαΜακράςΔιαρκείας1L,Preserved milk,berti-plires-35-gala-makras-diarkeias-1l,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
2025-01-09,ColgateΟδοντόβουρτσαExtraCleanMedium2Τεμ,Non-electrical appliances,colgate-odontovourtsa-extra-clean-medium-2tem,MISCELLANEOUS GOODS AND SERVICES,SupermarketCy
2025-01-09,ΝουνούΦρουτόκρεμα3Φρούτα&Γάλα300g-0.20€,Baby food,nounou-froutokrema-3-frouta-gala-300g-020eur,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
2025-01-09,JotisFarineLactee300g-0.20€,Baby food,giotis-farin-lakte-300g-020eur,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
2025-01-09,DixanΣκόνηΦρεσκάδαΛεβάντας44Πλύσεις2.2kg,Cleaning and maintenance products,dixan-skoni-freskada-levantas-44-plyseis-22kg,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",SupermarketCy
2025-01-09,RoklinSprayAntibacterialΓιαΤοΜπάνιο750ml-1€,Cleaning and maintenance products,roklin-spray-antibacterial-gia-to-mpanio-750ml-1eur,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",SupermarketCy
2025-01-09,ΕύρηκαExtraΞύδι&ΛεμόνιΥγρόΠιάτων750ml-0.40€,Cleaning and maintenance products,evrika-extra-xydi-lemoni-ygro-piaton-750ml-040eur,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",SupermarketCy
2025-01-09,"Agros6Χ1,5L",Mineral or spring waters,agros-6x15l,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
2025-01-09,"PericNeroAgrou6Χ1,5L",Mineral or spring waters,peric-nero-agrou-6ch15l,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
2025-01-09,VikosNero12X500ml,Mineral or spring waters,vikos-nero-12x500ml,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
2025-01-09,"Kykkos6Χ1,5L",Mineral or spring waters,kykkos-6ch15l,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
2025-01-09,3AMilletSeed800g,Products for pets,3a-apli-zootrofi-millet-kechri-kitrino-800g,RECREATION AND CULTURE,SupermarketCy
2025-01-09,3AParrotSeed450g,Products for pets,3a-apli-zootrofi-liostrofi-ilianthosporo-450g,RECREATION AND CULTURE,SupermarketCy
2025-01-09,ΧοιρινόΣνίτσελΠανέ700g,Other meats,choirino-snitsel-pane-700g,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
