Date,Division,Subclass,Price,Weight,Weight_Price_Subclass,Weight_Price_Division,CPI Division
2024-06-27,MISCELLANEOUS GOODS AND SERVICES,Hairdressing for women,27.5,0.0083,0.22825,0.6150945606060606,100.0
2024-06-27,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ","Heaters, air conditioners",377.4,0.0025,0.9435,4.652567139130435,100.0
2024-06-27,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",Household furniture,122.98,0.0088,1.082224,4.652567139130435,100.0
2024-06-27,COMMUNICATION,Internet access provision services,27.6175,0.0031,0.08561425,0.3188654333333333,100.00000000000004
2024-06-27,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",Irons,23.95,0.0003,0.0071849999999999,4.652567139130435,100.0
2024-06-27,FOOD AND NON-ALCOHOLIC BEVERAGES,"Jams, marmalades and honey",3.78375,0.0015,0.005675625,0.8181883133775538,100.0
2024-06-27,MISCELLANEOUS GOODS AND SERVICES,Jewellery,30.125,0.0013,0.0391624999999999,0.6150945606060606,100.0
2024-06-27,ALCOHOLIC BEVERAGES AND TOBACCO,Lager beer,6.345000000000001,0.0026,0.016497,0.4736601428571428,100.00000000000004
2024-06-27,FOOD AND NON-ALCOHOLIC BEVERAGES,Lamb and goat,12.33,0.0039,0.048087,0.8181883133775538,100.0
2024-06-27,COMMUNICATION,Letter handling services,1.05,0.0006,0.0006299999999999,0.3188654333333333,100.00000000000004
2024-06-27,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",Lighting equipment,12.49,0.0007,0.008743,4.652567139130435,100.0
2024-06-27,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",Liquid fuels,1.1382628458498023,0.0071,0.0080816662055335,0.2665640324277558,100.00000000000004
2024-06-27,FOOD AND NON-ALCOHOLIC BEVERAGES,Low fat milk,2.2616666666666667,0.0086,0.0194503333333333,0.8181883133775538,100.0
2024-06-27,TRANSPORT,Lubricants,11.225,0.0004,0.00449,717.7520410271334,100.0
2024-06-27,TRANSPORT,Maintenance and repair of personal transport equipment,9.07,0.0184,0.166888,717.7520410271334,100.0
2024-06-27,FOOD AND NON-ALCOHOLIC BEVERAGES,Margarine and other vegetable fats,3.14,0.0012,0.0037679999999999,0.8181883133775538,100.0
2024-06-27,FOOD AND NON-ALCOHOLIC BEVERAGES,Mineral or spring waters,2.543333333333333,0.0029,0.0073756666666666,0.8181883133775538,100.0
2024-06-27,RECREATION AND CULTURE,Miscellaneous printed matter,12.45,0.0005,0.006225,1.6305346088751291,100.0
2024-06-27,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",Miscellaneous small tool accessories,63.56666666666667,0.0013,0.0826366666666666,4.652567139130435,100.0
2024-06-27,COMMUNICATION,Mobile telephone equipment,44.15,0.0023,0.101545,0.3188654333333333,100.00000000000004
2024-06-27,TRANSPORT,Motor cycles,6195.0,0.0011,6.814500000000001,717.7520410271334,100.0
2024-06-27,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",Motorized major tools and equipment,62.8,0.0017,0.10676,4.652567139130435,100.0
2024-06-27,RECREATION AND CULTURE,Musical instruments,342.5,0.0003,0.10275,1.6305346088751291,100.0
2024-06-27,TRANSPORT,New motor cars,28171.42857142857,0.0188,529.6228571428571,717.7520410271334,100.0
2024-06-27,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",Non-electric kitchen utensils and articles,17.216666666666665,0.0023,0.0395983333333333,4.652567139130435,100.0
2024-06-27,MISCELLANEOUS GOODS AND SERVICES,Non-electrical appliances,2.33,0.0009,0.002097,0.6150945606060606,100.0
2024-06-27,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",Non-motorized small tools,6.734,0.0005,0.003367,4.652567139130435,100.0
2024-06-27,FOOD AND NON-ALCOHOLIC BEVERAGES,Olive oil,12.133333333333333,0.0013,0.0157733333333333,0.8181883133775538,100.0
2024-06-27,FOOD AND NON-ALCOHOLIC BEVERAGES,Other bakery products,2.915294117647059,0.0146,0.042563294117647,0.8181883133775538,100.0
2024-06-27,FOOD AND NON-ALCOHOLIC BEVERAGES,Other cereal products,3.3,0.0,0.0,0.8181883133775538,100.0
2024-06-27,FOOD AND NON-ALCOHOLIC BEVERAGES,Other edible oils,8.5175,0.0015,0.01277625,0.8181883133775538,100.0
2024-06-27,FOOD AND NON-ALCOHOLIC BEVERAGES,Other food products n.e.c.,2.05,0.0009,0.0018449999999999,0.8181883133775538,100.0
2024-06-27,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",Other furniture and furnishings,51.892,0.0012,0.0622703999999999,4.652567139130435,100.0
2024-06-27,FOOD AND NON-ALCOHOLIC BEVERAGES,Other meat preparations,3.36,0.0019,0.006384,0.8181883133775538,100.0
2024-06-27,FOOD AND NON-ALCOHOLIC BEVERAGES,Other meats,6.35,0.0011,0.006985,0.8181883133775538,100.0
2024-06-27,HEALTH,Other medical products n.e.c.,44.576,0.0005,0.022288,0.347793,100.0
2024-06-27,FOOD AND NON-ALCOHOLIC BEVERAGES,Other milk products,1.7,0.002,0.0034,0.8181883133775538,100.0
2024-06-27,RECREATION AND CULTURE,Other non-fiction books,10.716666666666669,0.0004,0.0042866666666666,1.6305346088751291,100.0
2024-06-27,COMMUNICATION,Other postal services,12.516666666666666,0.0005,0.0062583333333333,0.3188654333333333,100.00000000000004
2024-06-27,FOOD AND NON-ALCOHOLIC BEVERAGES,Other preserved or processed fish and seafood-based preparations,5.577500000000001,0.0023,0.01282825,0.8181883133775538,100.0
2024-06-27,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",Other small electric household appliances,44.95,0.0,0.0,4.652567139130435,100.0
2024-06-27,RECREATION AND CULTURE,Other stationery and drawing materials,1.2176470588235293,0.0008,0.0009741176470588,1.6305346088751291,100.0
2024-06-27,HEALTH,Other therapeutic appliances and equipment,111.41,0.0003,0.033423,0.347793,100.0
2024-06-27,ALCOHOLIC BEVERAGES AND TOBACCO,Other tobacco products,31.9,0.0076,0.24244,0.4736601428571428,100.00000000000004
2024-06-27,RECREATION AND CULTURE,Paper products,5.25,0.0008,0.0042,1.6305346088751291,100.0
2024-06-27,TRANSPORT,Passenger transport by bus and coach,4.666666666666667,0.0008,0.0037333333333333,717.7520410271334,100.0
2024-06-27,TRANSPORT,Passenger transport by taxi and hired car with driver,2.34,0.0007,0.001638,717.7520410271334,100.0
2024-06-27,FOOD AND NON-ALCOHOLIC BEVERAGES,Pasta products and couscous,1.5825,0.0024,0.0037979999999999,0.8181883133775538,100.0
2024-06-27,RECREATION AND CULTURE,Personal computers,419.0,0.0028,1.1732,1.6305346088751291,100.0
2024-06-27,MISCELLANEOUS GOODS AND SERVICES,Personal grooming treatments,3.0700000000000003,0.0052,0.015964,0.6150945606060606,100.0
2024-06-27,TRANSPORT,Petrol,1.5244614035087718,0.0607,0.0925348071929824,717.7520410271334,100.0
2024-06-27,HEALTH,Pharmaceutical products,9.57,0.0202,0.1933139999999999,0.347793,100.0
2024-06-27,FOOD AND NON-ALCOHOLIC BEVERAGES,Pizza and quiche,3.9025,0.0011,0.00429275,0.8181883133775538,100.0
2024-06-27,RECREATION AND CULTURE,Plants and flowers,8.99,0.0024,0.0215759999999999,1.6305346088751291,100.0
2024-06-27,FOOD AND NON-ALCOHOLIC BEVERAGES,Pork,6.300000000000001,0.0112,0.07056,0.8181883133775538,100.0
2024-06-27,EDUCATION,Post-secondary non-tertiary education (ISCED 4),9000.0,0.0004,3.6,354.7019230769231,100.0
2024-06-27,FOOD AND NON-ALCOHOLIC BEVERAGES,Potatoes,3.4,0.0026,0.0088399999999999,0.8181883133775538,100.0
2024-06-27,FOOD AND NON-ALCOHOLIC BEVERAGES,Poultry,10.18,0.0098,0.0997639999999999,0.8181883133775538,100.0
2024-06-27,EDUCATION,Pre-primary education (ISCED-97 level 0),6915.0,0.0045,31.1175,354.7019230769231,100.0
